Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Total Energy Cost (USD),Per Capita Energy Cost (USD),Carbon Intensity (kg CO₂/kWh),Renewable Energy Consumption (TWh),Fossil Fuel Energy Consumption (TWh),Industrial Energy Consumption (TWh),Household Energy Consumption (TWh),Industrial Energy Cost (USD),Household Energy Cost (USD),Region
Canada,2018,9525.38,42301.43,13.7,70.47,45.18,19.96,3766.11,0.12,1143045600000.0,5076.1716,0.0003953763524394827,1304.9770599999997,6712.535285999999,4303.566683999999,1901.2658479999998,516428002079.99994,228151901759.99997,North America
Germany,2020,7922.08,36601.38,33.63,41.95,34.32,22.27,2713.12,0.08,633766400000.0,2928.1104,0.0003424757134489932,2664.1955040000003,3323.31256,2718.857856,1764.247216,217508628480.0,141139777280.0,Europe
Russia,2002,6630.01,41670.2,10.82,39.32,53.66,26.44,885.98,0.26,1723802600000.0,10834.252,0.0001336317743110493,717.3670820000001,2606.919932,3557.6633659999998,1752.9746440000004,924992475160.0,455773407440.00006,Asia
Brazil,2010,8580.19,10969.58,73.24,16.71,30.55,27.6,1144.11,0.47,4032689300000.0,5155.7026,0.00013334320102468593,6284.131156,1433.7497490000003,2621.2480450000003,2368.1324400000003,1231986581150.0002,1113022246800.0002,South America
Canada,2006,848.88,32190.85,73.6,74.86,42.39,23.43,842.39,0.48,407462400000.0,15451.607999999998,0.0009923546319856751,624.77568,635.4715679999999,359.840232,198.892584,172723311360.0,95468440320.0,North America
UK,2016,4682.02,2491.92,40.47,69.06,20.07,23.39,2242.11,0.35,1638707000000.0,872.172,0.000478876638715768,1894.813494,3233.4030120000007,939.6814140000001,1095.1244780000002,328888494900.0,383293567300.0,Europe
India,2024,9893.64,3912.56,27.07,31.7,57.59,18.56,3626.5,0.13,1286173200000.0,508.63280000000003,0.00036654861102688194,2678.208348,3136.28388,5697.747276,1836.2595839999997,740707145880.0,238713745919.99997,Asia
Canada,2008,7719.04,35819.59,15.03,62.73,57.93,21.51,3808.66,0.05,385952000000.0,1790.9795,0.0004934110977530884,1160.171712,4842.153792,4471.639872,1660.365504,223581993600.0,83018275200.0,North America
Russia,2020,9624.55,1708.8,77.36,63.39,48.42,24.01,525.95,0.2,1924910000000.0,341.76,5.464671075530805e-05,7445.55188,6101.002245,4660.20711,2310.854455,932041422000.0,462170891000.0,Asia
Brazil,2008,7818.38,29198.37,79.59,25.95,36.93,27.93,2504.76,0.11,860021800000.0,3211.8206999999998,0.0003203681581094805,6222.648642000001,2028.8696100000002,2887.327734,2183.673534,317606050740.0,240204088740.0,South America
Germany,2009,8761.33,42100.05,27.63,52.96,27.14,13.92,2433.13,0.39,3416918700000.0,16419.019500000002,0.00027771240211246464,2420.755479,4640.000368,2377.824962,1219.577136,927351735180.0,475635083040.0,Europe
